libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine ONISEP
viticulteur / viticultrice;http://www.onisep.fr/http/redirection/metier/identifiant/100230;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1405;Arboriculture et viticulture;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1405;"agriculture, animaux/cultures ; matières premières, fabrication, industries/agroalimentaire"
professeur / professeure de lycée professionnel;http://www.onisep.fr/http/redirection/metier/identifiant/100297;Les métiers auprès des enfants;Parcours;2015;9782273012294;W : Droit, enseignement, recherche en sciences humaines;K2109;Enseignement technique et professionnel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2109;lettres, langues - enseignement/enseignement
concepteur / conceptrice de jeux vidéo;http://www.onisep.fr/http/redirection/metier/identifiant/100301;Les métiers du jeu vidéo;Parcours;2019;9782273014502;U : Communication, médias;E1104;Conception de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/multimédia"
concepteur / conceptrice de jeux vidéo;http://www.onisep.fr/http/redirection/metier/identifiant/100301;Les métiers du web;Parcours;2015;9782273012270;U : Communication, médias;E1104;Conception de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/multimédia"
agent/e arboricole;http://www.onisep.fr/http/redirection/metier/identifiant/100307;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1405;Arboriculture et viticulture;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1405;agriculture, animaux/cultures
technicien / technicienne d'exploitation de l'eau;http://www.onisep.fr/http/redirection/metier/identifiant/100327;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;K2306;Supervision d'exploitation éco-industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2306;environnement - énergies - propreté/gestion de l'eau
formulateur / formulatrice;http://www.onisep.fr/http/redirection/metier/identifiant/100342;Les métiers du goût et des saveurs;Parcours;2018;9782273013888;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1505;Intervention technique en formulation et analyse sensorielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1505;sciences/chimie
consultant / consultante;http://www.onisep.fr/http/redirection/metier/identifiant/100354;Les métiers de la comptabilité et de la gestion;Parcours;2017;9782273013246;Q : Commerce, gestion, finances;M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;"banque - assurances - immobilier/finances ; commerce, marketing, vente/marketing - vente ; gestion des entreprises, comptabilité/ressources humaines"
juriste d'entreprise;http://www.onisep.fr/http/redirection/metier/identifiant/100356;Les métiers du droit;Parcours;2016;9782273012843;W : Droit, enseignement, recherche en sciences humaines;K1903;Défense et conseil juridique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1903;économie - droit - politique/droit social
chercheur / chercheuse en physique;http://www.onisep.fr/http/redirection/metier/identifiant/100368;;Fiches métiers / onisep.fr;;;J : Transformation des matériaux, procédés (biologie, chimie, physique);K2402;Recherche en sciences de l'univers, de la matière et du vivant;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;sciences/physique
technicien / technicienne en métrologie;http://www.onisep.fr/http/redirection/metier/identifiant/100373;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1506;Intervention technique qualité en mécanique et travail des métaux;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1506;"électricité - électronique - robotique/électronique ; mécanique/automatismes ; sciences/physique"
mécanicien / mécanicienne bateaux;http://www.onisep.fr/http/redirection/metier/identifiant/100382;;Fiches métiers / onisep.fr;;;F : Mécanique;I1605;Mécanique de marine;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1605;"matières premières, fabrication, industries/maintenance - qualité ; mécanique/construction navale"
inspecteur / inspectrice des douanes, des finances publiques ou du travail;http://www.onisep.fr/http/redirection/metier/identifiant/100390;;Fiches métiers / onisep.fr;;;Q : Commerce, gestion, finances;K1503;Contrôle et inspection des impôts;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1503;"économie - droit - politique/droit public ; économie - droit - politique/droit social ; logistique - transport/transport"
conservateur / conservatrice du patrimoine;http://www.onisep.fr/http/redirection/metier/identifiant/100421;Les métiers de la culture et du patrimoine;Parcours;2018;9782273013338;V : Arts, spectacle, audiovisuel;K1602;Gestion de patrimoine culturel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1602;"arts, culture, artisanat/activités culturelles ; arts, culture, artisanat/histoire de l'art ; histoire/géographie, psychologie, sociologie/histoire ; information-communication, audiovisuel/bibliothèque - documentation"
responsable de projets culturels;http://www.onisep.fr/http/redirection/metier/identifiant/100429;Les métiers de la culture et du patrimoine;Parcours;2018;9782273013338;U : Communication, médias;K1802;Développement local;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802;"arts, culture, artisanat/activités culturelles ; arts, culture, artisanat/histoire de l'art ; histoire/géographie, psychologie, sociologie/histoire"
bronzier / bronzière;http://www.onisep.fr/http/redirection/metier/identifiant/100432;Les études d'art;Dossiers;2018;9782273014052;E : Travail des métaux;B1601;Métallerie d'art;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1601;arts, culture, artisanat/artisanat d'art
collecteur / collectrice de fonds;http://www.onisep.fr/http/redirection/metier/identifiant/100446;;Fiches métiers / onisep.fr;;;R : Santé, social, soins personnels;M1705;Marketing;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1705;commerce, marketing, vente/marketing - vente
développeur rural / développeuse rurale humanitaire;http://www.onisep.fr/http/redirection/metier/identifiant/100449;;Fiches métiers / onisep.fr;;;A : Agriculture;K1802;Développement local;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802;"agriculture, animaux/agriculture (généralités) ; agriculture, animaux/développement agricole ; économie - droit - politique/sciences économiques"
infirmier / infirmière humanitaire;http://www.onisep.fr/http/redirection/metier/identifiant/100452;;Fiches métiers / onisep.fr;;;R : Santé, social, soins personnels;J1506;Soins infirmiers généralistes;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1506;"santé - social - sport/paramédical ; santé - social - sport/travail social"
